actual,predicted
257000,265687.5833333333
129000,211070.0
328900,313674.4666666667
173900,167702.2
107900,111673.69230769231
221500,219468.18181818182
210000,209212.5
317000,303959.4166666667
215000,219300.0
223500,209212.5
215000,250389.61538461538
150000,141059.375
169500,136866.66666666666
149900,141059.375
235000,335117.8181818182
142500,146121.42857142858
107400,129186.66666666667
168500,173364.33333333334
130000,100108.33333333333
169990,181900.0
218000,176189.5294117647
141000,141059.375
340000,303959.4166666667
117000,121211.53846153847
302000,335117.8181818182
265900,258272.8
139600,145432.3125
130000,121258.66666666667
193000,209212.5
164500,154290.0
133000,141059.375
124000,156236.41666666666
210000,158545.45454545456
155000,146121.42857142858
284000,239706.94444444444
154500,143363.15789473685
93000,162090.625
180500,156986.66666666666
112500,130628.57142857143
239900,181500.0
177500,167728.57142857142
244000,257208.6
203000,174515.7142857143
174000,167210.0
377500,313674.4666666667
222000,174990.0
305900,373207.1538461539
144000,145432.3125
155000,167728.57142857142
229000,257208.6
39300,71190.05263157895
83000,89885.0
310000,313674.4666666667
225000,302198.6
196000,188334.0
224000,193283.33333333334
282922,258272.8
190000,174310.7142857143
285000,303959.4166666667
84500,71190.05263157895
210000,181500.0
424870,335117.8181818182
230000,181500.0
135000,126938.46153846153
189000,181500.0
165400,174515.7142857143
149000,146121.42857142858
112000,129741.66666666667
81000,71190.05263157895
187750,194550.0
116500,130628.57142857143
217000,230902.4
195000,219300.0
255900,256026.92307692306
167500,176189.5294117647
153500,160123.82352941178
156000,146121.42857142858
212900,219468.18181818182
175000,188172.72727272726
178000,219300.0
155835,210716.35714285713
293077,246860.0
124500,141059.375
143000,181900.0
106500,101890.0
239000,233499.15384615384
157000,167210.0
140000,136866.66666666666
149900,176189.5294117647
174000,193283.33333333334
325000,313674.4666666667
124000,160123.82352941178
165500,156236.41666666666
325624,256026.92307692306
119500,123395.45454545454
115000,101890.0
85000,129186.66666666667
154000,154290.0
159000,219300.0
187500,167210.0
485000,487367.1
131500,150175.72727272726
135960,140690.0
98000,143075.81818181818
340000,303959.4166666667
128000,129186.66666666667
156500,156986.66666666666
