actual,predicted
181000,187868.58983964598
124500,106406.36738213505
114500,172268.70542083244
155000,144909.68149339015
187500,196861.67858358106
68400,117113.92187474617
184000,228343.59286182263
170000,144357.4840905657
155000,162294.9545718329
176500,198230.91258709578
193879,203342.26894603774
125000,118704.92931516042
207000,223046.62432080667
214000,237702.75159390827
118000,111678.50049598217
178900,188349.0374633463
265979,331819.87412785797
107400,122616.79911918637
189950,143805.44296922875
179500,125562.49237030711
124000,151422.52522481346
128500,121979.56727406195
269500,261143.68966575255
136500,133926.2288347132
189000,174183.76834674316
125000,155099.02063691645
179000,173894.10222275925
157000,150926.29979111004
130000,137500.0
119500,122745.66360754342
229000,309466.96674123
156500,206721.77974487148
310000,309314.0503204806
80000,121630.8438723379
214000,221453.64532213344
200000,308804.3853843635
196500,129233.41486095026
133900,194375.9372936447
340000,322019.0389849679
230000,237548.523269151
248000,241072.43525321985
205000,293561.312777716
143750,138371.7115425404
210000,195129.2112265755
128000,163538.43643076188
154000,142112.24488083358
187500,182678.2163020379
153500,167374.52362070305
126000,134335.71111118622
144000,134172.21756615562
243000,248460.48870146973
207500,224930.19019404493
104900,131724.70382108385
224900,162654.2082910421
189000,180651.72413249372
485000,420632.47987154557
198900,300002.670863854
60000,70523.81143879423
284000,407935.3698088419
170000,164464.40533215116
244600,262372.9386499166
128000,94622.50369767724
265000,318462.90950953093
89471,126500.84302150307
260000,236111.4441057923
109008,130775.30719550919
152000,201751.5249428432
158000,176650.8103165656
119000,116599.83725840737
264561,232931.57576376313
287090,257846.64496597296
132250,193087.14834222972
178000,172823.65531597892
101000,101781.3840285102
235000,273274.8592305159
181000,168727.15921041384
148500,146000.0
222000,214450.5301802756
144000,135570.29726199634
185500,193705.29156374047
438780,329097.76700919773
124500,129536.2050846439
101800,90679.89723966396
136000,146626.14154863317
79900,143649.50593411722
220000,213706.29052922397
118400,127649.66581340753
203000,213956.87316226514
228500,177609.6167296858
290000,226357.37272841122
320000,212819.77698920784
264132,207397.61849213004
139000,135226.6794691469
239000,254128.7802713401
131000,141922.30855221197
164000,172779.80616280003
302000,238180.22827564974
125500,126578.37903836714
162900,150509.4172111885
181134,181600.04553929868
136500,134557.39040612165
119000,113209.19836610323
150000,171949.1968635447
153000,198140.03290499048
297000,269027.1878148445
183900,159209.59946120417
178000,188955.5807181706
160000,136229.00627131236
168000,206466.49987881686
215000,202070.4634610185
112500,128133.40789021458
250000,241822.50904167656
244000,195632.30240948912
105500,128394.83807814428
157000,156403.36496579822
158500,141945.53350374606
333168,332504.55840486486
234000,132375.85615705032
318000,311030.8947077342
280000,264343.2635439118
79900,124977.66766072356
105900,113622.46664341154
154000,180026.85702999405
285000,182987.67155025955
220000,222463.68288529868
109900,99750.0
184100,151695.1260167541
140000,180938.5123354381
125000,120361.92254017136
182900,216500.00932291863
215000,201848.0976926945
130000,137500.0
190000,133989.44903484607
169500,128246.1588620683
180000,151435.31796255705
131400,123665.0773624262
118964,118858.0
192000,219680.75847294764
115000,109059.03384256821
120000,133042.6925149973
151000,144152.0
240000,249489.07660441785
82500,143601.24558699355
236000,204258.26255749704
225000,124935.38671934197
160000,106140.52372347376
133000,140679.64812282546
100000,96850.0
136000,131917.78854528524
190000,211508.177603018
137450,136175.28947539613
130000,156949.0220014869
144000,125766.34421202599
314813,306657.379556605
218000,189325.4047450761
109000,105938.37976777765
176000,181574.27240276473
148000,140730.57790249307
221000,223723.45023381323
426000,319282.3739041476
144500,149000.0
135000,139376.8396487282
130000,154440.66029760087
248900,270809.9551256585
169990,169719.02632632424
210000,164805.92175099842
152000,163490.25992797187
180500,187409.9919140385
224000,248790.87663692367
237500,248083.89130374225
211000,194765.87267619098
138000,121891.09371289468
228000,241234.17924738795
200000,182156.63521118293
210000,194329.08737977664
122900,156406.3241496263
140000,136690.5016866491
193000,209415.07775273116
395192,337957.98208040046
271000,173153.9353402758
127000,135092.54405841389
138000,171597.5036855944
222500,172490.09078413507
200100,114368.10918361887
350000,403888.4282772457
287000,207592.6464548585
108480,114544.14751922192
392500,248663.03101252
160000,143203.38254579424
285000,333709.7548935545
191000,202742.54812308578
372402,315708.5472407272
135500,127567.9315247537
125500,122864.15118801645
194000,234245.5498591309
177500,170936.9517644415
55000,93464.80246315895
134500,124002.82087836732
187500,153580.13876972414
281000,266804.3747519087
137500,197094.82571401785
102000,113989.05793590196
143000,162470.65841230802
231500,196616.4525786503
108000,117628.70468320757
125000,144345.65688977952
73000,135960.5388701076
82000,112598.45469138738
232600,205520.3842991109
303477,206748.87018184355
386250,356236.873247998
260000,240249.6416899204
240000,310032.15155991307
125500,157673.65033494312
385000,391439.4517946926
155000,134777.8903925748
190000,230342.04714428898
117000,108656.52094672581
253000,230530.27951828652
